publisher,id_nicolas,url,titolo,volume,product_id,n_ristampa,prezzo_intero,prezzo_attuale,data_rilascio,autore,disegnatore,pagine,size,contenuti,binding,colore,isbn,descrizione,genere,img_file
jpop,jpop_dengekitravellers003,https://www.j-pop.it/dengeki-travellers/5299-dengeki-travellers-003.html,Dengeki Travellers 003,3,5299,1,"5,90","5,90",,Hajime Segawa,Toshinori Okazaki,0,Not Available,Not Available,Not Available,Not Available,9788834902035,"Il liceale Kiriharu è dotato della capacità di immagazzinare nel suo corpo l’energia elettrica e di rilasciarla con effetti devastanti. Un giorno nella sua classe si trasferisce una ragazza enigmatica con la sua stessa abilità, legata a un’organizzazione segreta con mire poco chiare…  ","Action, Drama, sci-fi",https://www.j-pop.it/5182-thickbox_default/dengeki-travellers-003.jpg
jpop,jpop_horimiya013,https://www.j-pop.it/horimiya/5298-horimiya-013.html,Horimiya 013,13,5298,1,"5,90","5,90",,Hero,Daisuke Hagiwara,0,Not Available,Not Available,Not Available,Not Available,9788834902745,"Nel circolo di amici c’è qualcuno che non è stato nemmeno sfiorato dalle gioie dell’amore, seppure lo desideri con tutto se stesso: Iura, il buffone del gruppo. Suo malgrado, sarà invece costretto ad assistere ai primi batticuori della sorellina e a trasformarsi in un inflessibile fratello maggiore, con esiti imprevedibili… Intanto, la storia di Hori e Miyamura sta prendendo sempre di più la forma di una convivenza, con tutti i problemi che ne derivano!","Shonen, Romantico, Comedy",https://www.j-pop.it/5181-thickbox_default/horimiya-013.jpg
jpop,jpop_hellsingnuovaedizionebox15,https://www.j-pop.it/hellsing/5297-hellsing-nuova-edizione-box-1-5.html,HELLSING - Nuova Edizione BOX (1-5),Not Available,5297,1,"75,00","75,00",,Kotha Hirano,,400,Not Available,Not Available,Not Available,Not Available,9788834902738,"Una nobile casata inglese, gli Hellsing, lotta da generazioni contro i vampiri, al punto da essersi trasformata in una vera e propria organizzazione paramilitare al servizio segreto di sua maestà. L'ultima erede e leader del casato, Lady Integra, ha poi al suo fianco nella lotta un'arma tanto formidabile quanto impensabile: lo spietato vampiro Alucard!","Seinen, Azione, Horror",https://www.j-pop.it/5180-thickbox_default/hellsing-nuova-edizione-box-1-5.jpg
jpop,jpop_kotailcanecheviveconnoi,https://www.j-pop.it/kota-il-cane-che-vive-con-noi/5296-kota-il-cane-che-vive-con-noi.html,Kota: il Cane che Vive con Noi,Not Available,5296,1,"12,00","12,00",,Takashi Murakami,,230,Not Available,Not Available,Not Available,Not Available,9788834902646,"Arriva la dolcissima storia di Kota, il vivace cagnolino di famiglia del fumettista Takashi Murakami, in un manga autobiografico che dipinge situazioni familiari a tutti coloro che hanno accolto un animale nella propria vita. Con tutto il divertimento, la gioia (e le scocciature) che ciò comporta.","Comedy, Slice of Life, Sitcom",https://www.j-pop.it/5179-thickbox_default/kota-il-cane-che-vive-con-noi.jpg
jpop,jpop_lovewhispersevenintherustednight,https://www.j-pop.it/love-whispers-even-in-the-rusted-nights/5295-love-whispers-even-in-the-rusted-night.html,Love Whispers Even in the Rusted Night,Not Available,5295,1,"6,90","6,90",,Ogeretsu Tanaka,,168,Not Available,Not Available,Not Available,Not Available,9788834903353,"Yumi, ragazzo apparentemente allegro e spensierato, è in una relazione con Kan-chan, che sfoga con rabbia su di lui le frustrazioni del lavoro. Yumi pensa di non meritare altro che questo tipo di relazione, dove i pugni, il sesso e il sangue si miscelano in ciò che lui pensa sia amore. All'improvviso, però, compare davanti ai suoi occhi una vecchia cotta, Mayama, che gli fa realizzare quanto in realtà Yumi desideri essere amato veramente, e completamente…",yaoi,https://www.j-pop.it/5178-thickbox_default/love-whispers-even-in-the-rusted-night.jpg
jpop,jpop_landofthelustrous002,https://www.j-pop.it/land-of-the-lustrous/5294-land-of-the-lustrous-002.html,Land of the Lustrous 002,2,5294,1,"7,50","7,50",,Haruko Ichikawa,,180,Not Available,Not Available,Not Available,Not Available,9788834903407,"In un futuro lontano, il mondo è popolato da gemme: ventotto pietre preziose dalle fattezze umane, forti ma delicate, in grado di rigenerarsi anche se in frantumi. La loro vita è una lotta eterna contro gli abitanti della Luna, che vogliono usarne i corpi per fabbricare armi e gioielli. Una battaglia in cui non c'è posto per Phos, troppo fragile per combattere, ma alla costante ricerca della risposta al mistero dell'esistenza...","Fantasy, Seinen, Drama",https://www.j-pop.it/5177-thickbox_default/land-of-the-lustrous-002.jpg
jpop,jpop_lareginadegittolocchioazzurrodihorus003,https://www.j-pop.it/la-regina-d-egitto/5293-la-regina-d-egitto-l-occhio-azzurro-di-horus-003.html,La Regina d'Egitto: l'occhio azzurro di Horus 003,3,5293,1,"6,50","6,50",,Chie Inudoh,,0,Not Available,Not Available,Not Available,Not Available,9788834902820,"Hatshepsut, costretta inizialmente a sposare il fratellastro per permettergli di diventare faraone, passerà alla storia come una figura femminile caparbia e una grande regina. Questo è il racconto, ricco di emozioni, battaglie e colpi di scena, della sua scalata al potere!","Seinen, Storico, Osamushi Collection",https://www.j-pop.it/5176-thickbox_default/la-regina-d-egitto-l-occhio-azzurro-di-horus-003.jpg
jpop,jpop_igiornidellasposa012,https://www.j-pop.it/i-giorni-della-sposa/5292-i-giorni-della-sposa-012.html,I Giorni della Sposa 012,12,5292,1,"6,00","6,00",,Kaoru Mori,,190,Not Available,Not Available,Not Available,Not Available,9788834902752,"Fine Ottocento: lungo la Via della Seta, si incrociano le vite e gli amori di persone all'apparenza lontane. Come Amira, splendida ventenne che cavalca e tira con l'arco come un uomo, e Karluc, dolce dodicenne al quale lei è data in sposa. O Henry, ricercatore inglese in viaggio in Medio Oriente, e Talas, giovane nomade rimasta troppo presto vedova. Tra difficoltà quotidiane, shock culturali e conflitti tribali, anche le vicende più spinose diventano favole romantiche.","Sentimentale, Seinen",https://www.j-pop.it/5175-thickbox_default/i-giorni-della-sposa-012.jpg
jpop,jpop_gonbox13,https://www.j-pop.it/gon/5289-gon-box-1-3.html,Gon - box (1-3),Not Available,5289,1,"36,00","36,00",,Masashi Tanaka,,0,Not Available,Not Available,Not Available,Not Available,9788834902349,"Nato nel 1991 (o milioni di anni fa), Gon è diventato in poco tempo uno dei personaggi più riconoscibili dei media grazie all'universalità e alle tematiche ambientaliste della sua serie manga: storie mute e godibili da tutti in cui il testardo dinosauro giallo imperversa in un mondo in cui gli umani non sono ancora comparsi, cacciando, giocando ed esplorando. Tre volumi di formato deluxe in cui i dettagliatissimi disegni di Masashi Tanaka possono brillare come meritano.","Avventura, Dinosauri",https://www.j-pop.it/5172-thickbox_default/gon-box-1-3.jpg
jpop,jpop_ilgiocodelgattoedeltopoallinone,https://www.j-pop.it/edizioni-j-pop/5288-il-gioco-del-gatto-e-del-topo-all-in-one.html,Il Gioco del Gatto e del Topo - all in one,Not Available,5288,1,"14,00","14,00",,Setona Mizushiro,,534,Not Available,Not Available,Not Available,Not Available,9788834901182,"Kyoichi Otomo, traditore seriale, rincontra il suo vecchio compagno di università Imagase. Quest’ultimo, scoperte le sue tresche, pone una condizione per il suo silenzio. Cosa cambierà nella vita di Kyoichi dopo questo rincongiungimento?",yaoi,https://www.j-pop.it/5171-thickbox_default/il-gioco-del-gatto-e-del-topo-all-in-one.jpg
jpop,jpop_actage003,https://www.j-pop.it/act-age/5287-act-age-003.html,Act-Age 003,3,5287,1,"5,90","5,90",,Tatsuya Matsuki,Shiro Usazaki,0,Not Available,Not Available,Not Available,Not Available,9788834903322,"Chiyoko e Kei stanno per girare una scena insieme. Non riuscendo a mettere a fuoco il personaggio di Karen, interpretato da Chiyoko, Kei decide di basarsi sull'esperienza maturata con i suoi amici per trovare l'ispirazione. Quando, però, si rende conte che non è la soluzione giusta, decide di affrontare le cose con Chiyoko in maniera più diretta...","Shonen, Drama, Makoto Shinkai, your name.",https://www.j-pop.it/5170-thickbox_default/act-age-003.jpg
jpop,jpop_thepromisedneverland016,https://www.j-pop.it/the-promised-neverland/5286-the-promised-neverland-016.html,The Promised Neverland 016,16,5286,1,"5,90","5,90",,Kaiu Shirai,Posuka Demizu,0,Not Available,Not Available,Not Available,Not Available,9788834903377,"Emma, Norman, Ray e gli altri orfani continuano la loro drammatica fuga. Mentre il piano per far crollare la società dei demoni e liberare tutti i bambini prosegue, Emma cerca una via in cui né umani né demoni rimangano feriti... ma questo la porterà a dover toccare con mano l'oscurità celata nel cuore di chi desidera vendetta!","Shonen, Action, Sovrannaturale",https://www.j-pop.it/5169-thickbox_default/the-promised-neverland-016.jpg
jpop,jpop_persona5005,https://www.j-pop.it/persona-5/5285-persona-5-005.html,Persona 5 005,5,5285,1,"5,90","5,90",,Hisato Murasaki,,0,Not Available,Not Available,Not Available,Not Available,9788834903360,"Dopo Suguru Kamoshida, l’insegnate di educazione fisica del loro liceo, la banda riesca a far ravvedere anche il celebre pittore Ichiryusai Madarame, ma la presidentessa del comitato studentesco, Makoto Nijima, incaricata di scoprire l’identità dei ladri, sta cominciando a sospettare di Akira e dei suoi compagni. Nel frattempo gira voce che un’organizzazione criminale attiva a Shibuya stia prendendo di mira i minorenni...","Shonen, Action, sci-fi, Videogame",https://www.j-pop.it/5168-thickbox_default/persona-5-005.jpg
jpop,jpop_magicalgirlspecopsasuka007,https://www.j-pop.it/magical-girl-spec-ops-asuka/5284-magical-girl-spec-ops-asuka-007.html,Magical Girl Spec-Ops Asuka 007,7,5284,1,"6,50","6,50",,"Makoto Fukami, Naoya Tamura",Seiko Tokiya,0,Not Available,Not Available,Not Available,Not Available,9788834902462,"Nel frattempo, Makino della pubblica sicurezza, in cerca di informazioni a Mosca, e tra in possesso di un nuovo indizio… Qual è il vero obiettivo della Brigata babele?","Fantasy, Seinen, Action, Ecchi, sci-fi",https://www.j-pop.it/5167-thickbox_default/magical-girl-spec-ops-asuka-007.jpg
jpop,jpop_laviadelgrembiuleloyakuzacasalingo001,https://www.j-pop.it/la-via-del-grembiule-lo-yakuza-casalingo/5283-la-via-del-grembiule-lo-yakuza-casalingo-001.html,La Via del Grembiule - Lo Yakuza Casalingo 001,1,5283,1,"5,90","5,90",,Kousuke Oono,,170,Not Available,Not Available,Not Available,Not Available,Not Available,"Tatsu, detto “l’Immortale”, è lo yakuza più implacabile e temuto della città. Un demone in combattimento, un uomo d’onore pronto a dare la vita per i suoi compagni… E lo è ancora oggi che si è sposato. Solo che adesso i combattimenti sono svendite al supermercato con casalinghe spietate e i suoi compagni sono lavatrice e aspirapolvere. Perché Tetsu (mentre la moglie porta a casa il pane) ha deciso di diventare l’uomo di casa perfetto, ma i suoi vecchi nemici e soprattutto il suo aspetto remano contro ogni buon proposito…","Comedy, Yakuza",https://www.j-pop.it/5166-thickbox_default/la-via-del-grembiule-lo-yakuza-casalingo-001.jpg
jpop,jpop_thequintessentialquintuplets006,https://www.j-pop.it/the-quintessential-quintuplets/5282-the-quintessential-quintuplets-006.html,The Quintessential Quintuplets 006,6,5282,1,"5,90","5,90",,Negi Haruba,,192,Not Available,Not Available,Not Available,Not Available,9788834903384,"Futaro accetta, come lavoro part-time, di dare ripetizioni a cinque gemelle che odiano studiare; il suo compito è far sì che il quintetto riesca a diplomarsi senza intoppi. Proprio ora che sarebbe il momento di procedere senza sosta con le ripetizioni, tra Nino e Itsuki scoppia una lite e le due ragazze scappano di casa. Nel frattempo, anche Yotsuba è impegnata come membro di supporto del club di atletica e, a completare l’opera, arriva la “bambina della foto”.","Shonen, Comedy, Romantica",https://www.j-pop.it/5165-thickbox_default/the-quintessential-quintuplets-006.jpg
jpop,jpop_killingstalkingterzastagione002,https://www.j-pop.it/killing-stalking/5281-killing-stalking-terza-stagione-002.html,Killing Stalking - Terza Stagione 002,2,5281,1,"9,90","9,90",,Koogi,,0,Not Available,Not Available,Not Available,Not Available,9788834902912,"Il rapporto tra Bum e Sangwoo è intricato e in continua evoluzione. La gentilezza di Sangwoo fa pensare che tra i due stia finalmente per nascere qualcosa, ma sarà davvero così? I traumi del passato vengono a galla, insieme a nuovi misteri, nuovi cadaveri, nuove rivelazioni...","Webcomic, Lezhin",https://www.j-pop.it/5164-thickbox_default/killing-stalking-terza-stagione-002.jpg
jpop,jpop_ilbisturielaspada002,https://www.j-pop.it/il-bisturi-e-la-spada/5280-il-bisturi-e-la-spada-002.html,Il bisturi e la spada 002,2,5280,1,"15,00","15,00",,Osamu Tezuka,,454,Not Available,Not Available,Not Available,Not Available,9788834902769,"Osamu Tezuka racconta la tumultuosa seconda metà del 1800 giapponese attraverso gli occhi di due uomini molto diversi: il fedele samurai Manjiro Ibuya, legato alle tradizioni, e il medico Ryoan Tezuka (antenato dell'autore), aperto alle innovazioni occidentali. La loro rivalità, che diventerà con il tempo amicizia, caratterizza una delle opere più significative del leggendario maestro.","Storico, Osamu Tezuka",https://www.j-pop.it/5163-thickbox_default/il-bisturi-e-la-spada-002.jpg
jpop,jpop_yournameanothersideearthbound002ilmanga,https://www.j-pop.it/your-name-kimi-no-na-wa/5279-your-name-another-side-earthbound-002-il-manga.html,Your Name - Another Side: Earthbound 002 - il manga,Not Available,5279,1,"6,50","6,50",,"Makoto Shinkai, Arata Kanoh",Jyunya Nakamura,0,Not Available,Not Available,Not Available,Not Available,9788834901359,"Taki, uno studente di Tokyo, nei suoi sogni si scambia di corpo con Mitsuha, una liceale che vive in campagna. Il ragazzo si abitua gradualmente alla nuova vita, sempre più incuriosito dalla proprietaria del corpo. Ma Taki non è l'unico a sperimentare qualcosa di nuovo: cosa penseranno gli amici e i familiari della ragazza di fronte ai suoi comportamenti bizzarri?","Shonen, Drama, Makoto Shinkai, your name.",https://www.j-pop.it/5162-thickbox_default/your-name-another-side-earthbound-002-il-manga.jpg
jpop,jpop_lafenice004librodelmito,https://www.j-pop.it/la-fenice/5278-la-fenice-004-libro-del-mito.html,La Fenice 004 - Libro del Mito,Not Available,5278,1,"12,00","12,00",,Osamu Tezuka,,384,Not Available,Not Available,Not Available,Not Available,9788834902530,"Iniziata nel 1954 e continuata a più riprese fino al 1988 la saga de La Fenice è uno sforzo monumentale in cui il maestro Tezuka sperimentò soluzioni narrative e grafiche ancora oggi straordinarie. Mentre gli uomini lottano per avvicinarsi al divino realizzando opere straordinarie, la Fenice si conferma agente del cambiamento sconvolgendo le vite di due uomini: un brigante tormentato e un artista geniale ma roso da passioni indomabili, protagonisti di un conflitto di cui è complicato riconoscere vincitori e vinti.",Osamu Tezuka,https://www.j-pop.it/5161-thickbox_default/la-fenice-004-libro-del-mito.jpg
jpop,jpop_kasane001,https://www.j-pop.it/kasane/5275-kasane-001.html,Kasane 001,1,5275,1,"6,90","6,90",,Daruma Matsuura,,0,Not Available,Not Available,Not Available,Not Available,9788834901632,"Kasane è una ragazza dal viso deforme, e per questo motivo le persone sono sempre state cattive con lei. Un singolare rossetto dagli oscuri poteri, ereditato dalla madre, una bellissima attrice, potrebbe cambiarle la vita per sempre. Ma tutto ha un prezzo...","Thriller, Horror, Drama",https://www.j-pop.it/5158-thickbox_default/kasane-001.jpg
jpop,jpop_casteheaven001,https://www.j-pop.it/caste-heaven/5274-caste-heaven-001.html,Caste Heaven 001,1,5274,1,"6,90","6,90",,Chise Ogawa,,0,Not Available,Not Available,Not Available,Not Available,Not Available,"Azusa ha regnato incontrastato sulla classe finché, tradito da un seguace che intendeva ingraziarselo, è finito per diventare bersaglio di atti di bullismo. In aggiunta, il traditore è divenuto il nuovo sovrano e costringe Azusa, tormentato dal resto della classe, a una scelta definitiva...",yaoi,https://www.j-pop.it/5157-thickbox_default/caste-heaven-001.jpg
jpop,jpop_wizdoms,https://www.j-pop.it/wizdoms/5273-wizdoms.html,Wizdoms,Not Available,5273,1,"11,90","11,90",,Nagabe,,232,Not Available,Not Available,Not Available,Not Available,9788834902264,"Tanto tempo fa il saggio stregone Wizdom conferì agli animali le stesse capacità degli esseri umani. Per fare onore al suo dono, fu fondata la scuola di magia ""Wizdoms"", dove vivere insieme e scoprire cose nuove sul mondo, l'amore lontano dai pregiudizi e l'amicizia. In un'atmosfera incantata si mescolano storie toccanti e umoristiche, rese uniche da protagonisti fantastici ma con sentimenti reali. ","Fantasy, Antologia",https://www.j-pop.it/5156-thickbox_default/wizdoms.jpg
jpop,jpop_girlfromtheotherside008,https://www.j-pop.it/girl-from-the-other-side/5272-girl-from-the-other-side-008.html,Girl from the Other Side 008,8,5272,1,"6,50","6,50",,Nagabe,,186,Not Available,Not Available,Not Available,Not Available,9788834902448,"Per il bene di Shiva, il maestro era disposto anche a sacrificare la vita di altri, ma quando arriva il momento qualcosa lo frena. Sarà il piccolo barlume di umanità che ancora alberga in lui? Non potendo accettare di fare del male a qualcuno, si rende conto che l'unico modo per salvare la bambina è sacrificare se stesso. Sceglierà questa strada?","Fantasy, Seinen, Horror, Action",https://www.j-pop.it/5155-thickbox_default/girl-from-the-other-side-008.jpg
jpop,jpop_17anni004,https://www.j-pop.it/17-anni/5271-17-anni-004.html,17 Anni 004,4,5271,1,"6,90","6,90",,Seiji Fujii,Yoji Kamata,0,Not Available,Not Available,Not Available,Not Available,9788834900062,"Ispirato alla drammatica vicenda di Junko Furuta, il tragico rapimento che sconvolse il Giappone di fine anni Ottanta! Il liceale Hiroki si unisce alla banda del teppista Miyamoto e, dopo l'iniziale eccitazione, si ritrova coinvolto in crimini sempre più gravi. Finché la banda non rapisce Sachiko, una giovane studentessa, che diventa oggetto delle più orribili torture… Vittima dei suoi aguzzini e dell'indifferenza degli adulti, la ragazza ha però ancora qualcuno che lotta per lei. Un viaggio tra le pieghe più nere dell'animo umano…",Drammatico,https://www.j-pop.it/5154-thickbox_default/17-anni-004.jpg
jpop,jpop_17anni003,https://www.j-pop.it/17-anni/5270-17-anni-003.html,17 Anni 003,3,5270,1,"6,90","6,90",,Seiji Fujii,Yoji Kamata,0,Not Available,Not Available,Not Available,Not Available,9788834900055,"Ispirato alla drammatica vicenda di Junko Furuta, il tragico rapimento che sconvolse il Giappone di fine anni Ottanta! Il liceale Hiroki si unisce alla banda del teppista Miyamoto e, dopo l'iniziale eccitazione, si ritrova coinvolto in crimini sempre più gravi. Finché la banda non rapisce Sachiko, una giovane studentessa, che diventa oggetto delle più orribili torture… Vittima dei suoi aguzzini e dell'indifferenza degli adulti, la ragazza ha però ancora qualcuno che lotta per lei. Un viaggio tra le pieghe più nere dell'animo umano…",Drammatico,https://www.j-pop.it/5153-thickbox_default/17-anni-003.jpg
jpop,jpop_dengekitravellers002,https://www.j-pop.it/dengeki-travellers/5269-dengeki-travellers-002.html,Dengeki Travellers 002,2,5269,1,"5,90","5,90",,Hajime Segawa,Toshinori Okazaki,0,Not Available,Not Available,Not Available,Not Available,9788834902028,"Una fulminante miniserie piena di azione e misteri dall'autore di Ga-Rei e Tokyo ESP! Il liceale Kiriharu è dotato della capacità di immagazzinare nel suo corpo l’energia elettrica e di rilasciarla con effetti devastanti. Un giorno nella sua classe si trasferisce una ragazza enigmatica con la sua stessa abilità, legata a un’organizzazione segreta con mire poco chiare…","Action, Drama, sci-fi",https://www.j-pop.it/5152-thickbox_default/dengeki-travellers-002.jpg
jpop,jpop_rikudo018,https://www.j-pop.it/rikudo/5268-rikudo-018.html,Rikudo 018,18,5268,1,"6,00","6,00",,Toshimitsu Matsubara,,182,Not Available,Not Available,Not Available,Not Available,9788834902172,"Come un K.O. inaspettato e violento, anche questo nuovo volume colpisce duro! Riku sta scoprendo che sul ring incontrerà altri come lui, disposti a tutto per vincere e brutali anche quando l'incontro non lo richiede. La sua motivazione sarà abbastanza forte?","Seinen, Sport, Drama",https://www.j-pop.it/5151-thickbox_default/rikudo-018.jpg
